Time [sec]	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Alt [m]	Lon [°]   	Lat [°]   	RI    	Dew [°C]	Vi Te [°C]	MRI    	D [kg/m3]	Rs [m/s]	Elevation [°]	Azimuth [°]	Range [m]
0         	992.3  	1.0   	79    	0.0     	000   	26     	-58.965700	-62.201600	284.80	-2.2    	1.5       	288.88 	0.100405 	0.0     	62.2         	180        	1        
2         	990.4  	0.4   	80    	0.3     	004   	39     	-58.965725	-62.201672	284.90	-2.6    	0.9       	290.99 	0.101614 	6.4     	57.9         	189        	16       
4         	988.4  	-0.2  	81    	0.7     	004   	52     	-58.965749	-62.201744	284.99	-3.1    	0.3       	293.08 	0.102827 	6.4     	57.7         	189        	31       
6         	986.5  	-0.7  	81    	1.0     	004   	64     	-58.965774	-62.201815	285.09	-3.5    	-0.2      	295.19 	0.104046 	6.4     	57.7         	189        	46       
8         	984.5  	-0.9  	82    	1.3     	004   	77     	-58.965799	-62.201887	284.75	-3.6    	-0.4      	296.84 	0.104952 	6.4     	57.6         	189        	61       
10        	982.6  	-1.0  	83    	1.6     	004   	90     	-58.965823	-62.201959	284.33	-3.6    	-0.5      	298.43 	0.105769 	6.4     	57.6         	189        	76       
12        	980.7  	-1.1  	83    	2.0     	004   	103    	-58.965848	-62.202031	283.92	-3.6    	-0.6      	300.01 	0.106587 	6.4     	57.6         	189        	91       
14        	978.7  	-1.2  	84    	2.3     	004   	115    	-58.965873	-62.202102	283.50	-3.6    	-0.7      	301.60 	0.107405 	6.4     	57.6         	189        	106      
16        	976.8  	-1.3  	84    	2.6     	004   	128    	-58.965879	-62.202182	283.08	-3.6    	-0.8      	303.18 	0.108224 	6.4     	57.3         	188        	122      
18        	974.9  	-1.4  	85    	2.9     	004   	141    	-58.965872	-62.202268	282.67	-3.6    	-0.9      	304.78 	0.109043 	6.4     	56.9         	187        	138      
20        	973.0  	-1.5  	86    	3.3     	004   	152    	-58.965864	-62.202354	282.25	-3.6    	-1.0      	306.13 	0.109861 	5.7     	56.2         	186        	152      
22        	971.9  	-1.6  	86    	3.6     	004   	163    	-58.965857	-62.202440	282.03	-3.6    	-1.1      	307.59 	0.110142 	5.4     	55.5         	185        	167      
24        	970.8  	-1.7  	86    	3.9     	004   	174    	-58.965849	-62.202526	281.83	-3.7    	-1.2      	309.08 	0.110391 	5.4     	55.0         	184        	181      
26        	969.7  	-1.7  	86    	4.2     	004   	184    	-58.965842	-62.202612	281.62	-3.7    	-1.3      	310.55 	0.110640 	5.4     	54.5         	184        	195      
28        	968.6  	-1.8  	86    	4.6     	004   	195    	-58.965835	-62.202698	281.41	-3.8    	-1.3      	312.04 	0.110890 	5.4     	54.1         	183        	210      
30        	967.5  	-1.9  	87    	4.9     	004   	206    	-58.965827	-62.202784	281.20	-3.9    	-1.4      	313.52 	0.111140 	5.4     	53.7         	183        	224      
32        	966.4  	-2.0  	87    	4.9     	004   	217    	-58.965820	-62.202870	280.98	-3.9    	-1.5      	314.97 	0.111384 	5.4     	53.4         	183        	238      
34        	965.3  	-2.1  	87    	4.8     	003   	227    	-58.965812	-62.202956	280.74	-4.0    	-1.6      	316.43 	0.111617 	5.4     	53.1         	182        	252      
36        	964.2  	-2.1  	87    	4.8     	003   	238    	-58.965805	-62.203042	280.48	-4.0    	-1.7      	317.85 	0.111546 	5.4     	52.8         	182        	267      
38        	963.0  	-2.2  	87    	4.7     	002   	249    	-58.965797	-62.203128	280.21	-4.1    	-1.7      	319.26 	0.111474 	5.4     	52.6         	182        	281      
40        	961.9  	-2.3  	87    	4.7     	002   	260    	-58.965790	-62.203214	279.95	-4.2    	-1.8      	320.69 	0.111402 	5.4     	52.4         	181        	295      
42        	960.8  	-2.3  	87    	4.6     	001   	270    	-58.965782	-62.203300	279.69	-4.3    	-1.8      	322.11 	0.111330 	5.4     	52.2         	181        	310      
44        	959.6  	-2.4  	86    	4.6     	001   	281    	-58.965775	-62.203386	279.43	-4.3    	-1.9      	323.53 	0.111261 	5.4     	52.0         	181        	324      
46        	958.5  	-2.5  	86    	4.5     	360   	291    	-58.965765	-62.203460	279.18	-4.4    	-2.0      	324.93 	0.111194 	5.3     	52.0         	181        	337      
48        	957.3  	-2.5  	86    	4.5     	359   	302    	-58.965751	-62.203521	278.92	-4.5    	-2.1      	326.29 	0.111154 	5.1     	52.2         	181        	350      
50        	956.1  	-2.6  	86    	4.5     	359   	312    	-58.965738	-62.203582	278.65	-4.6    	-2.2      	327.64 	0.111175 	5.1     	52.3         	181        	362      
52        	954.9  	-2.7  	86    	4.4     	358   	322    	-58.965725	-62.203643	278.39	-4.7    	-2.2      	328.99 	0.111196 	5.1     	52.5         	180        	374      
54        	953.7  	-2.8  	86    	4.4     	358   	333    	-58.965712	-62.203704	278.12	-4.7    	-2.3      	330.34 	0.111216 	5.1     	52.6         	180        	387      
56        	952.5  	-2.9  	86    	4.3     	357   	343    	-58.965698	-62.203766	277.85	-4.8    	-2.4      	331.67 	0.111237 	5.1     	52.7         	180        	399      
58        	951.3  	-2.9  	86    	4.3     	356   	353    	-58.965685	-62.203827	277.59	-4.9    	-2.5      	333.02 	0.111258 	5.1     	52.8         	180        	411      
