Time [sec]	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Alt [m]	Geopot [m]	Lon [°]   	Lat [°]   	Dew [°C]	Vi Te [°C]	RI    	MRI    	Rs [m/s]	Elevation [°]	Azimuth [°]	Range [m]	D [kg/m3]
0         	988.7  	2.7   	59    	0.0     	000   	26     	26        	-58.965700	-62.201600	-4.5    	3.2       	281.03	285.11 	0.0     	62.2         	180        	1        	0.074524 
2         	986.9  	2.4   	56    	0.9     	088   	41     	41        	-58.966220	-62.201604	-5.5    	2.8       	280.64	287.09 	7.5     	30.1         	268        	31       	0.070451 
4         	985.0  	2.1   	52    	1.7     	088   	56     	56        	-58.966739	-62.201608	-6.6    	2.5       	280.25	289.08 	7.5     	29.6         	269        	62       	0.066370 
6         	983.2  	1.8   	49    	2.6     	088   	71     	71        	-58.967259	-62.201612	-7.7    	2.2       	279.87	291.06 	7.5     	29.5         	269        	93       	0.062279 
8         	981.3  	1.6   	49    	3.4     	088   	86     	87        	-58.967779	-62.201616	-7.9    	1.9       	279.65	293.21 	7.5     	29.4         	269        	124      	0.062596 
10        	979.5  	1.3   	51    	4.3     	088   	101    	102       	-58.968299	-62.201620	-7.8    	1.6       	279.49	295.41 	7.5     	29.3         	269        	155      	0.064462 
12        	977.6  	1.0   	52    	5.2     	088   	117    	117       	-58.968818	-62.201625	-7.7    	1.3       	279.34	297.63 	7.5     	29.3         	269        	186      	0.066332 
14        	975.8  	0.7   	54    	6.0     	088   	132    	132       	-58.969338	-62.201629	-7.6    	1.1       	279.18	299.85 	7.5     	29.3         	269        	217      	0.068205 
16        	974.0  	0.4   	55    	6.9     	088   	147    	147       	-58.969776	-62.201637	-7.5    	0.8       	279.03	302.06 	7.5     	29.7         	269        	244      	0.070083 
18        	972.1  	0.1   	56    	7.7     	088   	162    	162       	-58.970179	-62.201647	-7.5    	0.5       	278.88	304.28 	7.5     	30.3         	269        	270      	0.071964 
20        	970.5  	-0.2  	58    	8.6     	088   	177    	177       	-58.970582	-62.201658	-7.4    	0.2       	278.77	306.54 	7.5     	30.8         	268        	296      	0.073829 
22        	968.8  	-0.5  	59    	9.5     	088   	191    	191       	-58.970985	-62.201668	-7.5    	-0.1      	278.64	308.58 	6.9     	31.0         	268        	321      	0.075023 
24        	967.1  	-0.7  	60    	10.3    	088   	203    	203       	-58.971388	-62.201679	-7.6    	-0.4      	278.50	310.36 	6.1     	30.9         	268        	345      	0.076219 
26        	965.7  	-1.0  	60    	11.2    	088   	215    	215       	-58.971792	-62.201689	-7.7    	-0.7      	278.42	312.19 	6.1     	30.9         	268        	370      	0.077418 
28        	964.2  	-1.3  	61    	12.0    	088   	227    	228       	-58.972195	-62.201699	-7.8    	-1.0      	278.34	314.04 	6.1     	30.8         	268        	394      	0.078620 
30        	962.7  	-1.6  	62    	12.9    	088   	240    	240       	-58.972598	-62.201710	-7.9    	-1.2      	278.26	315.88 	6.1     	30.8         	268        	418      	0.079824 
32        	961.2  	-1.9  	63    	12.7    	088   	252    	252       	-58.973001	-62.201720	-7.9    	-1.5      	278.18	317.71 	6.1     	30.8         	268        	443      	0.081030 
34        	959.7  	-2.2  	64    	12.6    	088   	264    	264       	-58.973404	-62.201730	-8.1    	-1.8      	278.09	319.54 	6.1     	30.7         	268        	467      	0.082095 
36        	958.3  	-2.5  	64    	12.4    	088   	276    	277       	-58.973807	-62.201741	-8.3    	-2.1      	277.99	321.36 	6.1     	30.7         	268        	491      	0.082700 
38        	956.8  	-2.6  	65    	12.2    	088   	289    	289       	-58.974211	-62.201751	-8.3    	-2.2      	277.67	322.97 	6.1     	30.7         	268        	516      	0.083246 
40        	955.3  	-2.6  	65    	12.0    	088   	301    	301       	-58.974614	-62.201761	-8.3    	-2.3      	277.37	324.58 	6.1     	30.7         	268        	540      	0.083792 
42        	953.8  	-2.7  	65    	11.9    	088   	313    	313       	-58.975017	-62.201772	-8.3    	-2.4      	277.06	326.18 	6.1     	30.6         	268        	564      	0.084338 
44        	952.4  	-2.8  	66    	11.7    	088   	325    	326       	-58.975420	-62.201782	-8.3    	-2.5      	276.77	327.81 	6.1     	30.6         	268        	588      	0.084886 
46        	951.0  	-2.9  	66    	11.5    	088   	337    	337       	-58.975805	-62.201791	-8.3    	-2.6      	276.49	329.37 	5.8     	30.6         	268        	612      	0.085436 
48        	949.7  	-3.0  	67    	11.3    	088   	348    	348       	-58.976163	-62.201796	-8.3    	-2.7      	276.22	330.79 	5.4     	30.6         	268        	633      	0.085986 
