Time [sec]	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Alt [m]	Geopot [m]	Lon [°]   	Lat [°]   	Dew [°C]	Vi Te [°C]	RI    	MRI      	Rs [m/s]	Elevation [°]	Azimuth [°]	Range [m]	D [kg/m3]
0         	944.6  	13.2  	36    	2.6     	140   	26     	26        	-58.965700	-62.201600	-1.5    	13.8      	257.62	261.70   	0.0     	62.2         	180        	1        	0.043805 
2         	943.9  	12.7  	42    	3.3     	141   	32     	32        	-58.965999	-62.201424	0.0     	13.4      	258.16	263.15   	2.9     	14.4         	321        	26       	0.050601 
4         	943.3  	12.2  	47    	4.0     	141   	38     	38        	-58.966297	-62.201248	1.2     	12.9      	258.70	264.62   	2.9     	13.9         	321        	51       	0.057421 
6         	942.6  	11.7  	53    	4.6     	142   	44     	44        	-58.966596	-62.201072	2.3     	12.5      	259.24	266.07   	2.9     	13.6         	321        	77       	0.064266 
8         	942.0  	11.1  	58    	5.3     	142   	49     	49        	-58.966894	-62.200896	3.2     	12.0      	259.79	267.55   	2.9     	13.5         	322        	103      	0.071136 
10        	941.3  	10.6  	63    	6.0     	142   	55     	55        	-58.967193	-62.200719	4.0     	11.6      	260.33	269.00   	2.9     	13.4         	322        	128      	0.077794 
12        	940.6  	10.1  	64    	6.7     	142   	61     	61        	-58.967491	-62.200543	3.7     	11.0      	260.67	270.26   	2.9     	13.4         	322        	154      	0.079114 
14        	939.3  	9.6   	65    	7.3     	142   	69     	69        	-58.967790	-62.200367	3.4     	10.5      	260.83	271.59   	3.7     	13.8         	322        	180      	0.080440 
16        	938.0  	9.1   	66    	8.0     	142   	82     	82        	-58.968067	-62.200190	3.1     	10.0      	261.00	273.90   	6.9     	15.9         	322        	207      	0.081769 
18        	936.7  	8.6   	67    	8.7     	143   	96     	96        	-58.968343	-62.200012	2.9     	9.4       	261.16	276.23   	6.9     	17.5         	322        	235      	0.083104 
20        	935.1  	8.1   	68    	9.4     	143   	110    	110       	-58.968619	-62.199834	2.5     	8.9       	261.25	278.47   	6.9     	18.7         	322        	262      	0.084266 
22        	933.6  	7.6   	68    	10.1    	143   	123    	124       	-58.968895	-62.199657	2.1     	8.4       	261.32	280.69   	6.9     	19.8         	322        	290      	0.084818 
24        	932.0  	7.0   	69    	10.7    	143   	137    	137       	-58.969171	-62.199479	1.7     	7.8       	261.39	282.93   	6.9     	20.6         	323        	318      	0.085372 
26        	930.4  	6.5   	69    	11.4    	143   	151    	151       	-58.969447	-62.199301	1.3     	7.3       	261.46	285.15   	6.9     	21.3         	323        	345      	0.085928 
28        	928.9  	6.0   	69    	12.1    	143   	165    	165       	-58.969723	-62.199123	0.8     	6.7       	261.52	287.38   	6.9     	21.9         	323        	373      	0.086486 
30        	927.3  	5.5   	70    	12.8    	143   	178    	179       	-58.969999	-62.198946	0.4     	6.2       	261.59	289.60   	6.9     	22.4         	323        	401      	0.087046 
32        	925.8  	5.0   	70    	12.8    	143   	192    	192       	-58.970275	-62.198768	0.0     	5.7       	261.66	291.84   	6.9     	22.9         	323        	429      	0.087608 
34        	924.2  	4.5   	70    	12.9    	143   	206    	206       	-58.970551	-62.198590	-0.5    	5.1       	261.73	294.06   	6.9     	23.3         	323        	457      	0.088177 
36        	922.7  	4.0   	71    	13.0    	143   	220    	220       	-58.970827	-62.198413	-0.9    	4.6       	261.80	296.28   	6.9     	23.6         	323        	485      	0.088776 
38        	921.1  	3.4   	71    	13.1    	143   	233    	234       	-58.971103	-62.198235	-1.3    	4.1       	261.87	298.52   	6.9     	23.9         	323        	513      	0.089378 
40        	919.5  	2.9   	71    	13.1    	143   	247    	248       	-58.971380	-62.198057	-1.7    	3.5       	261.95	300.74   	6.9     	24.2         	323        	541      	0.089982 
42        	918.0  	2.4   	72    	13.2    	143   	261    	261       	-58.971656	-62.197880	-2.2    	3.0       	262.02	302.98   	6.9     	24.5         	323        	569      	0.090588 
44        	916.4  	1.9   	72    	13.3    	143   	275    	275       	-58.971932	-62.197702	-2.6    	2.5       	262.10	305.21   	6.9     	24.7         	323        	596      	0.091197 
46        	914.9  	1.4   	72    	13.3    	143   	288    	289       	-58.972198	-62.197514	-3.0    	1.9       	262.18	307.46   	6.9     	24.9         	323        	625      	0.091807 
48        	913.4  	0.9   	73    	13.4    	143   	301    	302       	-58.972458	-62.197318	-3.4    	1.4       	262.27	309.56   	6.4     	25.0         	324        	654      	0.092433 
50        	912.0  	0.4   	73    	13.5    	143   	313    	314       	-58.972717	-62.197122	-3.9    	0.9       	262.40	311.54   	5.9     	24.9         	324        	682      	0.093084 
52        	910.7  	-0.1  	73    	13.5    	144   	325    	325       	-58.972977	-62.196926	-4.3    	0.4       	262.54	313.55   	5.9     	24.9         	324        	710      	0.093737 
54        	909.3  	-0.7  	74    	13.6    	144   	337    	337       	-58.973236	-62.196730	-4.7    	-0.2      	262.67	315.55   	5.9     	24.9         	324        	738      	0.094392 
56        	908.0  	-1.2  	74    	13.7    	144   	349    	349       	-58.973496	-62.196534	-5.2    	-0.7      	262.81	317.55   	5.9     	24.9         	324        	767      	0.095050 
58        	906.6  	-1.7  	75    	13.8    	144   	361    	361       	-58.973755	-62.196338	-5.6    	-1.2      	262.94	319.56   	5.9     	24.9         	324        	795      	0.095711 
60        	905.3  	-2.2  	75    	13.8    	144   	373    	373       	-58.974015	-62.196142	-6.0    	-1.8      	263.08	321.56   	5.9     	24.9         	325        	823      	0.096374 
62        	903.9  	-2.7  	75    	13.9    	144   	384    	385       	-58.974274	-62.195946	-6.5    	-2.3      	263.21	323.56   	5.9     	24.9         	325        	851      	0.096922 
64        	902.6  	-3.2  	75    	13.9    	144   	396    	397       	-58.974534	-62.195750	-6.9    	-2.8      	263.34	325.56   	5.9     	24.9         	325        	880      	0.097404 
66        	901.2  	-3.7  	76    	13.9    	144   	408    	409       	-58.974794	-62.195554	-7.4    	-3.3      	263.47	327.56   	5.9     	24.9         	325        	908      	0.097889 
68        	899.8  	-4.3  	76    	14.0    	144   	420    	421       	-58.975053	-62.195358	-7.8    	-3.9      	263.60	329.56   	5.9     	24.9         	325        	936      	0.098375 
70        	898.5  	-4.5  	76    	14.0    	144   	432    	433       	-58.975313	-62.195162	-8.1    	-4.2      	263.51	331.34   	5.9     	24.9         	325        	964      	0.098782 
72        	897.1  	-4.7  	76    	14.0    	144   	444    	445       	-58.975572	-62.194966	-8.2    	-4.3      	263.25	332.94   	5.9     	24.9         	325        	993      	0.099125 
74        	895.8  	-4.8  	77    	14.1    	144   	456    	456       	-58.975832	-62.194770	-8.2    	-4.4      	263.00	334.56   	5.9     	24.9         	325        	1021     	0.099469 
76        	894.5  	-4.9  	77    	14.1    	144   	467    	468       	-58.976151	-62.194555	-8.3    	-4.5      	262.75	336.08   	5.7     	24.8         	325        	1052     	0.099767 
78        	893.2  	-5.0  	77    	14.1    	144   	478    	479       	-58.976491	-62.194334	-8.4    	-4.6      	262.49	337.58   	5.6     	24.7         	325        	1084     	0.100057 
80        	891.9  	-5.1  	77    	14.2    	144   	490    	490       	-58.976831	-62.194113	-8.5    	-4.7      	262.23	339.08   	5.6     	24.6         	325        	1117     	0.100346 
82        	890.7  	-5.2  	77    	14.2    	144   	501    	501       	-58.977170	-62.193892	-8.5    	-4.8      	261.97	340.57   	5.6     	24.4         	325        	1149     	0.100635 
84        	889.4  	-5.3  	78    	14.2    	144   	512    	513       	-58.977510	-62.193671	-8.6    	-5.0      	261.72	342.07   	5.6     	24.3         	325        	1181     	0.100925 
86        	888.1  	-5.4  	78    	14.3    	144   	523    	524       	-58.977849	-62.193450	-8.7    	-5.1      	261.46	343.58   	5.6     	24.2         	325        	1213     	0.101214 
88        	886.9  	-5.5  	78    	14.3    	144   	534    	535       	-58.978189	-62.193229	-8.7    	-5.2      	261.21	345.06   	5.6     	24.1         	325        	1246     	0.101504 
90        	885.6  	-5.6  	78    	14.3    	144   	545    	546       	-58.978528	-62.193008	-8.8    	-5.3      	260.94	346.55   	5.6     	24.0         	325        	1278     	0.101416 
92        	884.3  	-5.7  	78    	14.3    	144   	557    	557       	-58.978868	-62.192787	-8.9    	-5.3      	260.64	348.01   	5.6     	23.9         	325        	1310     	0.101316 
94        	883.1  	-5.8  	78    	14.3    	144   	568    	568       	-58.979208	-62.192566	-9.0    	-5.4      	260.34	349.47   	5.6     	23.8         	325        	1342     	0.101214 
96        	881.8  	-5.8  	78    	14.3    	144   	579    	580       	-58.979547	-62.192345	-9.1    	-5.5      	260.03	350.90   	5.6     	23.7         	325        	1375     	0.101112 
98        	880.6  	-5.9  	77    	14.3    	144   	590    	591       	-58.979887	-62.192124	-9.2    	-5.5      	259.73	352.36   	5.6     	23.7         	325        	1407     	0.101011 
100       	879.3  	-6.0  	77    	14.3    	144   	601    	602       	-58.980226	-62.191903	-9.3    	-5.6      	259.42	353.81   	5.6     	23.6         	325        	1439     	0.100909 
102       	878.1  	-6.0  	77    	14.3    	144   	612    	613       	-58.980566	-62.191682	-9.3    	-5.7      	259.12	355.25   	5.6     	23.5         	325        	1471     	0.100807 
104       	876.8  	-6.1  	77    	14.3    	144   	624    	624       	-58.980906	-62.191461	-9.4    	-5.8      	258.81	356.70   	5.6     	23.4         	325        	1504     	0.100763 
106       	875.5  	-6.2  	77    	14.3    	144   	635    	636       	-58.981262	-62.191239	-9.5    	-5.8      	258.52	358.18   	5.6     	23.4         	325        	1536     	0.100729 
108       	874.2  	-6.3  	77    	14.3    	144   	647    	648       	-58.981730	-62.191007	-9.6    	-5.9      	258.23	359.75   	5.9     	23.2         	325        	1573     	0.100695 
110       	872.9  	-6.4  	77    	14.3    	144   	659    	659       	-58.982198	-62.190776	-9.7    	-6.0      	257.93	361.31   	5.9     	23.1         	325        	1610     	0.100662 
112       	871.6  	-6.4  	77    	14.6    	143   	670    	671       	-58.982666	-62.190545	-9.8    	-6.1      	257.62	362.86   	5.9     	23.0         	324        	1647     	0.100628 
114       	870.2  	-6.5  	77    	14.9    	143   	682    	683       	-58.983134	-62.190313	-9.9    	-6.2      	257.32	364.43   	5.9     	22.9         	324        	1684     	0.100595 
116       	868.9  	-6.6  	77    	15.3    	142   	694    	695       	-58.983602	-62.190082	-10.0   	-6.3      	257.02	365.98   	5.9     	22.8         	324        	1721     	0.100594 
118       	867.6  	-6.7  	77    	15.6    	142   	706    	707       	-58.984070	-62.189850	-10.0   	-6.4      	256.72	367.55   	5.9     	22.8         	324        	1758     	0.100691 
120       	866.3  	-6.7  	77    	15.9    	141   	718    	719       	-58.984537	-62.189619	-10.1   	-6.4      	256.39	369.08   	5.9     	22.7         	324        	1795     	0.100775 
122       	865.0  	-6.8  	77    	16.2    	141   	730    	731       	-58.985005	-62.189388	-10.1   	-6.5      	256.06	370.60   	5.9     	22.6         	324        	1832     	0.100858 
124       	863.6  	-6.8  	77    	16.5    	140   	742    	742       	-58.985473	-62.189156	-10.1   	-6.5      	255.72	372.14   	5.9     	22.5         	323        	1870     	0.100942 
126       	862.3  	-6.9  	77    	16.8    	140   	753    	754       	-58.985941	-62.188925	-10.2   	-6.6      	255.39	373.66   	5.9     	22.4         	323        	1907     	0.101026 
128       	861.0  	-6.9  	77    	17.1    	139   	765    	766       	-58.986409	-62.188693	-10.2   	-6.6      	255.06	375.20   	5.9     	22.4         	323        	1944     	0.101110 
130       	859.7  	-7.0  	77    	17.4    	139   	777    	778       	-58.986877	-62.188462	-10.3   	-6.7      	254.73	376.72   	5.9     	22.3         	323        	1981     	0.101299 
132       	858.4  	-7.0  	78    	17.5    	139   	789    	790       	-58.987345	-62.188231	-10.3   	-6.7      	254.42	378.27   	5.9     	22.2         	323        	2018     	0.101671 
134       	857.1  	-7.1  	78    	17.6    	139   	801    	802       	-58.987813	-62.187999	-10.3   	-6.8      	254.11	379.84   	5.9     	22.2         	323        	2055     	0.102046 
